Sample_ID,CV_MJ/kg_db,VM_db,FC_db,Ash_db,Volatile_Fixed_Ratio,Moisture_Penalty,Cluster,Biomass_Type
1,20.55,81.0,17.9,1.1,4.5251396648044695,0.0236966824644549,1,Industrial Processing
3,12.41,56.2,11.1,32.7,5.063063063063064,0.050251256281407,2,Agricultural
4,12.66,52.0,5.2,42.8,10.0,0.1098901098901098,2,Urban Waste
5,14.14,64.2,9.6,26.2,6.687500000000001,0.1136363636363636,2,Industrial Processing
6,18.28,77.9,20.2,1.9,3.8564356435643568,0.0793650793650793,1,Industrial Processing
7,14.01,58.8,15.1,26.1,3.8940397350993377,0.0909090909090909,2,Industrial Processing
8,9.82,33.5,13.0,53.5,2.576923076923077,0.0121065375302663,2,Urban Waste
9,13.35,56.0,12.0,32.0,4.666666666666667,0.016,2,Industrial Processing
10,10.65,39.3,12.5,48.2,3.144,0.0123304562268803,2,Agricultural
11,19.0,85.4,14.4,0.2,5.930555555555556,0.0775193798449612,1,Industrial Processing
14,18.92,82.7,15.7,1.6,5.267515923566879,0.08130081300813,1,Urban Waste
15,19.34,84.4,15.2,0.4,5.552631578947369,0.0775193798449612,1,Forestry
16,13.49,51.4,16.9,31.7,3.0414201183431957,0.0234741784037558,2,Agricultural
17,14.73,67.0,13.7,19.3,4.89051094890511,0.0684931506849315,2,Agricultural
18,18.26,87.2,11.1,1.7,7.855855855855856,0.0900900900900901,1,Industrial Processing
19,18.57,83.8,14.5,1.7,5.779310344827586,0.0952380952380952,1,Industrial Processing
20,19.44,83.3,15.9,0.8,5.238993710691823,0.0746268656716417,1,Industrial Processing
21,18.99,80.7,15.3,4.0,5.2745098039215685,0.0840336134453781,1,Industrial Processing
22,18.53,80.1,18.1,1.8,4.425414364640884,0.0398406374501992,1,Forestry
23,22.66,76.6,19.5,3.9,3.928205128205128,0.0429184549356223,1,Forestry
24,19.24,80.3,17.9,1.8,4.4860335195530725,0.020242914979757,1,Forestry
25,19.41,82.2,16.5,1.3,4.981818181818182,0.017094017094017,1,Forestry
26,19.9,81.1,17.0,1.9,4.770588235294118,0.0172711571675302,1,Forestry
27,18.86,84.9,14.4,0.7,5.895833333333334,0.0257731958762886,1,Forestry
28,20.27,84.3,14.8,0.9,5.695945945945946,0.0184842883548983,1,Forestry
29,19.08,84.5,14.6,0.9,5.787671232876712,0.0305810397553516,1,Forestry
30,19.57,85.2,13.9,0.9,6.129496402877698,0.045045045045045,1,Industrial Processing
31,19.0,80.6,17.8,1.6,4.528089887640449,0.0757575757575757,1,Forestry
32,18.83,85.2,14.1,0.7,6.042553191489362,0.0900900900900901,1,Forestry
33,19.04,73.2,23.5,3.3,3.1148936170212767,0.0900900900900901,1,Forestry
34,19.5,74.1,19.8,6.1,3.742424242424242,0.0806451612903225,1,Forestry
44,18.02,77.1,15.1,7.8,5.105960264900662,0.0561797752808988,1,Industrial Processing
54,25.9,70.0,28.9,1.1,2.4221453287197234,0.0163934426229508,1,Industrial Processing
55,20.0,81.0,18.0,1.0,4.5,0.0909090909090909,1,Forestry
56,19.0,80.0,18.0,2.0,4.444444444444445,0.0909090909090909,1,Forestry
57,19.72,78.6,19.0,2.4,4.136842105263158,0.0952380952380952,1,Forestry
58,19.41,77.7,19.9,2.4,3.904522613065327,0.0943396226415094,1,Forestry
59,19.05,79.6,18.2,2.2,4.373626373626373,0.0900900900900901,1,Forestry
60,16.84,70.3,18.9,10.8,3.71957671957672,0.0892857142857142,1,Forestry
61,19.04,77.6,20.4,2.0,3.803921568627451,0.072992700729927,1,Forestry
62,19.24,80.7,16.3,3.0,4.950920245398773,0.0909090909090909,1,Forestry
63,20.03,80.4,18.3,1.3,4.39344262295082,0.0892857142857142,1,Forestry
64,19.91,76.4,21.2,2.4,3.6037735849056607,0.0806451612903225,1,Forestry
65,20.0,79.0,20.0,1.0,3.95,0.0833333333333333,1,Forestry
66,19.0,80.0,18.0,2.0,4.444444444444445,0.0833333333333333,1,Forestry
67,18.83,78.9,18.5,2.6,4.264864864864865,0.0854700854700854,1,Forestry
68,18.93,79.6,17.4,3.0,4.574712643678161,0.0826446280991735,1,Agricultural
69,18.46,80.1,17.1,2.8,4.6842105263157885,0.0173010380622837,1,Agricultural
70,20.05,82.3,17.3,0.4,4.757225433526012,0.0179856115107913,1,Industrial Processing
71,19.24,84.4,15.2,0.4,5.552631578947369,0.0318471337579617,1,Industrial Processing
72,18.57,81.7,16.9,1.4,4.83431952662722,0.0892857142857142,1,Industrial Processing
73,22.26,82.0,16.3,1.7,5.030674846625766,0.074074074074074,1,Industrial Processing
74,18.7,81.8,17.9,0.3,4.5698324022346375,0.1136363636363636,1,Industrial Processing
75,19.37,80.6,18.9,0.5,4.264550264550264,0.1724137931034483,1,Industrial Processing
76,21.15,77.9,20.0,2.1,3.895000000000001,0.0892857142857142,1,Forestry
77,19.5,77.6,20.9,1.5,3.712918660287081,0.0869565217391304,1,Forestry
78,19.45,86.1,13.6,0.3,6.330882352941177,0.0970873786407767,1,Forestry
79,21.64,77.5,19.9,2.6,3.894472361809045,0.0934579439252336,1,Forestry
80,18.2,76.0,21.0,3.0,3.619047619047619,0.08130081300813,1,Forestry
81,19.18,86.0,13.6,0.4,6.323529411764706,0.101010101010101,1,Forestry
82,21.67,79.2,17.1,3.7,4.631578947368421,0.0925925925925925,1,Forestry
83,16.51,73.5,20.1,6.4,3.656716417910448,0.0970873786407767,1,Forestry
84,19.02,86.6,12.9,0.5,6.713178294573643,0.101010101010101,1,Forestry
85,20.7,78.2,19.4,2.4,4.030927835051547,0.0699300699300699,1,Forestry
86,20.38,72.4,25.6,2.0,2.828125,0.0862068965517241,1,Forestry
87,19.66,84.4,15.3,0.3,5.516339869281046,0.0925925925925925,1,Forestry
88,20.12,77.0,19.6,3.4,3.928571428571429,0.0699300699300699,1,Forestry
89,17.58,74.5,20.5,5.0,3.634146341463415,0.0819672131147541,1,Forestry
90,20.02,83.5,16.1,0.4,5.186335403726708,0.0884955752212389,1,Forestry
91,18.94,83.8,15.8,0.4,5.30379746835443,0.050251256281407,1,Forestry
92,19.44,74.7,23.4,1.9,3.1923076923076925,0.0492610837438423,1,Forestry
93,19.37,88.6,11.0,0.4,8.054545454545455,0.0434782608695652,1,Forestry
94,19.57,85.4,14.1,0.5,6.056737588652483,0.0328947368421052,1,Forestry
95,18.71,88.0,11.8,0.2,7.4576271186440675,0.0387596899224806,1,Forestry
96,19.65,87.2,12.7,0.1,6.866141732283465,0.0411522633744856,1,Forestry
97,19.25,86.2,13.6,0.2,6.338235294117648,0.0943396226415094,1,Industrial Processing
98,19.37,87.4,12.5,0.1,6.992000000000001,0.1,1,Industrial Processing
99,21.76,81.6,17.7,0.7,4.610169491525424,0.08,1,Industrial Processing
100,21.76,81.6,17.7,0.7,4.610169491525424,0.08,1,Industrial Processing
101,21.41,89.0,10.9,0.1,8.1651376146789,0.0869565217391304,1,Industrial Processing
102,19.65,86.6,13.3,0.1,6.511278195488721,0.0869565217391304,1,Industrial Processing
103,19.5,85.3,14.6,0.1,5.842465753424658,0.0925925925925925,1,Industrial Processing
104,18.91,85.4,14.4,0.2,5.930555555555556,0.0769230769230769,1,Industrial Processing
105,22.25,71.4,24.0,4.6,2.975,0.0769230769230769,1,Forestry
106,18.01,88.6,11.2,0.2,7.910714285714286,0.0909090909090909,1,Industrial Processing
107,17.74,89.3,10.7,0.1,8.345794392523365,0.101010101010101,1,Industrial Processing
